Nome do alimento,Calorias,Carboidratos,Lipidos,Fibra,Proteina
"Rim de carneiro, frito com margarina",205,"12,9",0,0,"22,3"
"Rim de porco, cru",95,"3,0",0,0,"17,0"
"Rim de porco, frito com margarina",206,"12,4",0,0,"23,6"
"Rim de vaca, cru",92,"2,2",0,0,"18,0"
"Fígado de porco, frito, sem molho",180,"8,8",0,0,"25,2"
Alheira crua,309,"18,1","27,4","1,4","8,3"
Alheira cozida sem adição de sal,269,"14,0","26,8","1,4","8,3"
Alheira grelhada sem adição de sal,302,"17,0","28,5","1,5","8,1"
"Chouriço de carne de porco, magro, cru",409,"34,5",0,0,"24,5"
"Chouriço de carne de porco, gordo, cru",544,"53,6",0,0,"15,4"
"Chouriço de carne de porco, magro, cozido sem adição de sal",334,"26,1",0,0,"24,8"
"Chouriço de carne de porco, magro, grelhado sem adição de sal",343,"24,1",0,0,"31,6"
Chouriço de sangue cru,328,"31,6",0,0,"11,0"
Chouriço de sangue cozido sem adição de sal,263,"24,2",0,0,"11,2"
Farinheira crua,497,"41,0","26,7","1,2","4,8"
Farinheira cozida sem adição de sal,404,"30,7","26,4","1,3","4,8"
Linguiça,437,"39,0",0,0,"21,5"
Morcela crua,363,"29,5","12,0","0,6","12,0"
Morcela grelhada sem adição de sal,339,"25,9","13,1","0,7","12,9"
Mortadela,379,"33,2","1,7",0,"18,3"
Paio de lombo,288,"19,0",0,0,"29,2"
Paio de lombo entremeado,361,"30,0",0,0,"22,8"
Pasta de fígado de porco (paté),363,"34,5","3,2",0,"10,0"
"Pasta de fígado de aves (paté), caseira ",289,"17,6","4,6","0,3","27,0"
Presunto,215,"12,8",0,0,"25,0"
Salame,422,"37,6","1,3",0,"19,5"
Salpicão,412,"36,7",0,0,"20,5"
Salsicha fresca crua,210,"16,4",0,0,"15,5"
Salsicha fresca estufada com couve e azeite,140,"11,6","1,1","1,3","7,2"
Salsicha fresca estufada com legumes e azeite,121,"8,9","3,7","1,4","5,9"
Salsicha tipo Frankfurt,178,"14,7","2,4","0,1","9,0"
Salsicha tipo Frankfurt grelhada sem adição de sal,211,"16,7","3,2","0,1","12,0"
Salsicha tipo Frankfurt frita (escorrido o óleo) sem adição de sal,201,"16,5","2,8","0,1","10,2"
Croquete,316,"18,8","23,1","0,9","13,2"
Rissol,280,"13,4","31,8","1,3","7,3"
Chamuça,344,"16,3","39,3","1,7","9,1"
Pastel folhado,415,"26,0","37,4","1,5","7,1"
Empada,374,"21,9","33,9","1,3","9,6"
Creme para barrar de cacau e avelãs (8 marcas),545,"33,3","54,7","1,2","5,9"
Almôndega cozinhada,243,"16,7","3,8","0,2","19,2"
"Creme vegetal para barrar  72% gordura, 33% ácidos gordos polinsaturados",651,"72,1","0,4",0,"0,1"
"Creme vegetal culinário, 75% gordura, sem sal",677,"75,0","0,4",0,"0,1"
"Creme vegetal para barrar 35% gordura, com fitosteróis",328,"35,0","3,2",0,"0,1"
"Creme vegetal para barrar 70% gordura, com sal",632,"70,0","0,3",0,"0,1"
Creme vegetal para barrar 37% gordura,343,"37,4","0,2",0,"1,4"
"Margarina industrial para pastelaria, com sal",727,"80,5","0,4",0,"0,1"
"Margarina culinária para folhados, com sal",772,"85,5","0,4",0,"0,1"
"Margarina vegetal culinária, 80% gordura, com sal",722,"80,0","0,4",0,"0,1"
"Margarina vegetal culinária, com alho e sal",692,"74,3","4,4","0,7","1,0"
"Margarina líquida, 65% gordura, com sal",588,"65,3",0,0,0
"Margarina 3/4, de girassol",524,"58,0","0,3",0,"0,1"
Manteiga com sal,739,"81,8","0,7",0,"0,1"
Manteiga sem sal,750,"83,0","0,7",0,"0,1"
Minarina (meia margarina),380,"41,6","0,4",0,"0,9"
Óleo de amendoim,887,"98,5",0,0,0
"Óleo ""Becel""",887,"98,5",0,0,0
Óleo de girassol,896,"99,5",0,0,0
Óleos de milho,896,"99,5",0,0,0
Óleo alimentar,896,"99,5",0,0,0
Óleo de soja,887,"98,5",0,0,0
Óleo de palma,900,"100,0",0,0,0
Azeite (4 marcas),900,"99,9",0,0,"0,1"
"""Shortening"" para pastelaria",878,"97,5",0,0,0
"""Shortening"" para restaurante",900,"100,0",0,0,0
"Creme vegetal para barrar 70% gordura, 53% ácidos gordos monoinsaturados",632,"70,0","0,5",0,"0,1"
"Creme vegetal para barrar 58% gordura, com cálcio",525,"58,0","0,5",0,"0,3"
Arroz carolino branqueado cru,357,"0,5","79,6","2,2","7,4"
Arroz integral cru,351,"2,5","71,6","3,8","8,6"
Arroz agulha cru,347,"0,4","78,1","2,1","6,7"
Arroz cozido simples,125,"0,2","28,0","0,8","2,5"
Arroz de manteiga,265,"7,7","44,4","1,2","3,8"
Arroz de cenoura com azeite,127,"4,2","19,9","1,1","1,8"
Arroz de tomate com margarina,122,"3,4","20,2","1,2","2,0"
Arroz de tomate com azeite,129,"4,2","20,1","1,2","2,0"
Arroz de peixe,125,"3,7","15,5","0,7","7,0"
Farinha de alfarroba,368,"0,3","85,6","5,0","3,2"
Farinha de centeio tipo 70,364,"1,1","78,5","7,0","6,6"
Farinha de centeio tipo 85,375,"1,3","76,0","11,7","9,0"
"Milho, grão seco cru",368,"4,9","70,3","2,9","9,3"
Farinha de milho tipo 70,359,"2,2","75,3","2,6","8,3"
Farinha de trigo tipo 150,352,"1,8","73,0","3,7","9,1"
Farinha de trigo tipo 55,344,"1,1","74,3","2,9","7,8"
Farinha de trigo integral,338,"2,4","65,2","8,6","9,6"
Esparguete cru,360,"1,9","71,1","5,1","12,1"
Massa miúda crua,356,"1,8","70,0","5,1","12,4"
Esparguete cozido,102,"0,6","19,9","1,5","3,4"
Esparguete estufado com cenoura e azeite,121,"3,9","17,6","1,8","3,0"
Esparguete estufado com cenoura e margarina,115,"3,2","17,6","1,8","3,0"
Massa com ovo crua,360,"3,1","67,6","3,0","13,9"
Massa com ovo cozida,71,"0,6","13,3","0,6","2,8"
Massa para lasanha crua,359,"2,1","71,4","3,1","12,0"
Massa para lasanha cozida,115,"0,7","22,6","1,0","4,0"
Pão de centeio,268,"0,8","56,4","5,8","5,9"
Pão de centeio integral,229,"2,1","41,3","7,1","7,7"
Pão de milho,188,"1,2","37,2","3,7","5,3"
Pão de trigo,290,"2,2","57,3","3,8","8,4"
Pão de mistura de trigo e centeio,272,"1,4","53,8","4,3","9,0"
"Pão de forma, de trigo enriquecido",284,"2,7","54,5","3,2","8,7"
"Pão de forma, de trigo com passas",291,"2,0","58,3","3,5","8,3"
Pão de trigo integral,232,"3,0","39,9","7,4","7,6"
Pão de trigo integral com sementes de sésamo,256,"4,0","43,2","8,2","7,7"
Pão de trigo integral com soja,233,"2,8","38,2","8,6","9,4"
Pão de trigo integral com passas,247,"2,6","44,0","9,1","7,4"
Pão do coração (trigo),248,"1,2","51,0","2,8","7,0"
Pão de leite (trigo),259,"1,9","51,4","2,5","7,7"
Gressino,396,"8,7","67,0","3,5","10,7"
Tosta de trigo simples,379,"3,8","72,7","4,5","11,3"
Tosta de trigo sem sal,379,"3,8","72,7","4,5","11,3"
Tosta de trigo integral,373,"5,1","62,6","7,4","15,4"
"Flocos de milho tipo ""Corn Flakes""",374,"1,1","81,1","3,9","7,9"
Flocos de aveia,366,"5,8","61,7","6,7","13,5"
Flocos de arroz,379,"1,5","83,4","2,1","7,0"
Flocos de trigo,373,"2,5","69,0","9,3","14,0"
"Flocos de cereais e frutos secos tipo ""Muesli""",388,"6,3","69,1","6,8","10,4"
"Flocos de trigo e arroz enriquecidos com vitaminas, cálcio e ferro",372,"1,3","79,2","6,5","7,5"
"Flocos de trigo integral tipo ""All-Bran Flakes""",349,"1,9","64,2","17,3","10,2"
"Biscoitos de trigo integral tipo ""Weetabix""",364,"2,0","71,5","8,5","10,7"
"Farelo de trigo tipo ""All-Bran""",310,"3,4","39,8","30,0","15,1"
"Milho, amido (pó)",364,"0,2","90,2","0,1","0,4"
"Batata, fécula",345,"0,3","85,0","0,1","0,5"
Tapioca,356,"0,2","87,5","1,7","0,3"
"Biscoitos, argolas",451,"16,5","69,7","1,1","5,4"
Biscoitos limão,382,"4,4","77,9","1,8","6,7"
"Biscoitos, línguas de gato",377,"1,8","84,1","1,8","5,2"
"Biscoitos, línguas de veado",474,"20,7","65,1","1,8","5,8"
"Biscoitos, palitos la Reine",381,"7,2","66,6","1,8","11,5"
Biscoitos caseiros,423,"11,0","73,4","1,9","6,7"
Bolacha água e sal,450,"17,8","61,0","3,2","9,8"
Bolacha aveia,443,"18,3","57,5","4,0","10,0"
"Bolacha ""waffer"" baunilha",564,"36,4","55,3","1,0","3,2"
"Bolacha ""Belga""",487,"19,6","70,1","1,0","7,1"
Bolacha chocolate,469,"19,8","65,4","3,0","5,7"
"Bolacha ""Cream cracker""",442,"16,2","61,6","3,1","10,8"
Bolacha integral (trigo),450,"15,6","65,6","6,0","8,8"
Bolacha manteiga,483,"21,3","65,2","3,0","6,2"
Bolacha Maria,436,"12,2","72,0","2,1","8,4"
Bolacha torrada,437,"14,4","68,5","2,1","7,3"
Farinha de pau (mandioca),350,"0,3","84,6","1,6","1,4"
Bola de Berlim sem creme,402,"21,5","43,7","3,0","6,8"
Bolo de arroz,404,"14,8","62,7","1,1","4,4"
Bolo de bolacha Maria,389,"20,7","46,3","0,8","3,9"
Bolo de chocolate,463,"26,4","47,0","3,8","7,4"
Bolo de coco,454,"31,0","37,8","3,4","4,2"
Bolo ferradura,351,"4,1","71,6","1,9","5,9"
Bolo inglês,380,"13,9","57,0","3,2","5,1"
Bolo-Rei,407,"14,9","57,4","2,1","7,9"
Croissant,416,"23,5","42,2","2,6","7,6"
"""Donut""",400,"21,7","43,0","3,0","6,6"
"""Donut"" recheado com doce de fruta",348,"14,5","47,0","2,5","6,0"
Éclair de chocolate,378,"23,8","36,5","0,5","4,1"
Jesuíta,518,"31,2","54,0","2,5","4,1"
Merengue,353,"0,5","83,0",0,"4,1"
Pão-de-ló,361,"8,0","62,2","1,0","9,6"
Madalena,443,"22,6","54,7","0,7","4,9"
Pastel de feijão,322,"9,4","52,0","1,3","6,8"
Pastel de nata,299,"10,2","48,5","1,0","2,9"
Pudim de leite e ovos,246,"4,7","44,8",0,"6,1"
Pudim flan caseiro,211,"4,5","36,3",0,"6,2"
Pudim instantâneo em pó,412,"9,4","79,4","1,0","2,0"
Pudim instantâneo preparado com leite meio gordo,113,"3,0","18,3","0,2","3,1"
Pudim instantâneo preparado com leite magro,104,"1,9","18,3","0,2","3,2"
Queque,408,"18,2","53,8","1,0","6,7"
Tarte de maçã,200,"8,0","29,3","2,0","1,8"
Tarte de maçã e pêssego,224,"6,2","36,7","1,9","4,4"
Torta de chocolate e chantilly,369,"23,9","29,6","1,5","8,0"
Arroz doce,233,"3,8","45,2","0,4","4,4"
Leite creme,163,"6,8","19,5",0,"5,9"
Mousse de chocolate,285,"13,1","31,0","2,3","9,5"
Açúcar amarelo,390,0,"97,5",0,0
Açúcar branco,397,0,"99,3",0,0
Mel,314,0,"78,0",0,"0,5"
Cacau em pó,358,"23,4","11,1","12,1","19,6"
"Chocolate em barra, culinária",502,"30,5","44,0","15,0","5,4"
Chocolate em pó,469,"20,3","63,8","7,3","4,2"
Chocolate de leite,552,"33,9","53,1","1,3","8,0"
Pó achocolatado com baixo teor de gordura,395,"2,5","86,2","1,0","6,5"
Pó achocolatado com alto teor de gordura,428,"10,6","70,6","1,0","12,0"
Rabanada,294,"16,6","31,3","0,5","4,7"
Sonhos,389,"26,2","29,2","0,7","8,7"
Gelado de água (sorvete),132,0,"32,6",0,"0,4"
Gelado de leite,199,"10,9","21,7",0,"3,6"
Gelatina desidratada (pó ou folha),349,"0,1",0,0,"87,0"
Gelatina preparada com ananás em conserva,97,0,"21,6","0,4","2,2"
Gelatina preparada com laranja e sumo de laranja,84,"0,1","17,4","0,7","2,6"
Gelado caseiro com bolachas e natas,358,"21,2","36,5","0,6","5,1"
Gelado caseiro com palitos la Reine,263,"12,4","28,7","2,0","7,9"
Rebuçados,381,0,"95,0",0,"0,3"
Pastilha elástica,328,0,"75,1",0,"6,9"
Queijada de queijo magro,292,"4,7","55,4","0,7","6,7"
Queijada de queijo fresco,301,"4,7","56,7","0,9","7,5"
Queijada de requeijão,311,"13,1","40,8","0,4","7,2"
Ervilhas secas cruas,330,"1,3","49,4","15,0","22,7"
Ervilhas secas cozidas,114,"0,4","18,1","5,1","6,9"
Favas secas cruas,301,"1,3","32,8","27,6","25,8"
Favas secas cozidas (demolhadas),90,"0,6","10,7","5,0","7,9"
Feijão frade (feijão miúdo) cru,342,"1,3","55,3","9,4","22,6"
Feijão frade (feijão miúdo) cozido (demolhado),123,"0,7","18,1","4,7","8,8"
Feijão branco cru,318,"1,4","43,9","22,9","21,0"
Feijão branco cozido (demolhado),103,"0,5","14,6","6,7","6,6"
Feijão manteiga cru,316,"1,4","42,6","22,9","21,8"
Feijão manteiga cozido (demolhado),107,"0,6","14,0","7,0","7,8"
Grão-de-bico cru,354,"5,0","51,4","13,5","19,0"
Grão-de-bico cozido (demolhado),130,"2,1","16,7","5,1","8,4"
Lentilhas secas cruas,321,"0,7","47,6","11,8","25,2"
Lentilhas secas cozidas,115,"0,3","16,7","4,4","9,1"
"Soja, grão seco, cru",407,"19,3","18,3","14,3","32,8"
Soja cozida sem sal,151,"7,5","5,6","5,6","12,5"
"Soja, farinha com baixo teor de gordura",314,"2,6","21,8","13,5","44,0"
"Bebida à base de soja natural, sem açúcar e sem sal",37,"2,2","0,4","0,3","3,7"
"Bebida à base de soja com açúcar, com cálcio, sal e aromas",53,"2,1","4,2","1,2","3,6"
"Bebida à base de soja com açúcar, sal e aromas",61,"2,2","6,4","0,3","3,8"
Tofu simples,77,"4,4","0,7","0,3","8,5"
Tofu frito com azeite,108,"7,6","1,1","0,4","8,7"
Tofu frito com óleo de milho,108,"7,6","1,1","0,4","8,7"
"Tremoço, cozido e salgado",126,"2,4","7,2","4,8","16,4"
Canela moída,315,"3,2","55,5","24,4","3,9"
Brócolos crus,32,"0,8","1,5","2,6","3,4"
Brócolos cozidos,27,"0,7","1,3","2,3","2,8"
Couve branca crua,28,"0,4","3,5","2,4","1,4"
Couve branca cozida,23,"0,4","2,2","1,7","1,7"
Couve de Bruxelas crua,50,"1,4","4,0","3,8","3,5"
Couve de Bruxelas cozida,43,"1,3","3,5","2,6","2,9"
Couve-flor crua,34,"0,2","3,3","1,9","3,7"
Couve-flor cozida,21,"0,2","2,3","1,8","1,6"
Couve galega crua,32,"0,4","3,1","3,1","2,4"
Couve galega cozida,29,"0,4","2,9","2,7","2,1"
Couve lombarda crua,26,"0,2","2,1","3,1","2,4"
Couve lombarda cozida,22,"0,2","1,4","2,9","2,2"
Couve portuguesa crua,31,"0,4","3,5","2,4","2,2"
Couve portuguesa cozida,27,"0,4","2,5","2,4","2,1"
Couve roxa crua,30,0,"3,9","3,3","2,0"
Grelos de couve crus,28,"0,4","2,5","2,6","2,4"
Grelos de couve cozidos,22,"0,4","1,5","2,3","1,9"
Grelos de nabo crus,29,"0,5","2,3","2,6","2,4"
Grelos de nabo cozidos,20,"0,4","1,3","2,2","1,8"
"Ervilhas, grão, frescas cruas",76,"0,7","8,6","4,7","6,4"
"Ervilhas, grão, frescas cozidas",72,"0,7","7,9","4,8","6,2"
"Ervilhas, vagens cruas",33,"0,2","3,9","1,5","3,1"
"Ervilhas, vagens cozidas",30,"0,2","3,5","1,4","2,8"
"Ervilhas, grão, congeladas cruas",68,"0,5","7,0","7,0","5,3"
"Ervilhas, grão, congeladas cozidas",72,"0,5","7,5","7,3","5,6"
Favas frescas cruas,80,"0,5","8,5","6,1","7,4"
Favas frescas cozidas,73,"0,5","7,4","5,8","6,7"
Feijão verde fresco cru,32,"0,3","3,8","3,0","1,9"
Feijão verde fresco cozido,30,"0,3","3,5","3,0","1,8"
Abóbora crua,11,"0,2","1,7","0,7","0,3"
Agrião cru,29,"0,9","0,4","3,0","3,4"
Alho francês cru,26,"0,3","2,9","2,4","1,8"
Alcachofra crua,51,"0,2","6,8","5,0","3,0"
Alcachofra cozida,46,"0,2","5,3","5,6","3,0"
Alface crua,15,"0,2","0,8","1,3","1,8"
Batata crua,90,0,"19,2","1,6","2,5"
Batata cozida,87,0,"18,5","1,6","2,4"
Batata assada no forno,159,"4,8","24,8","2,1","3,2"
"Batata assada com pele, sem sal (só a polpa)",90,0,"19,2","1,7","2,5"
Puré de batata,126,"5,2","16,8","1,4","2,3"
"Batata estufada com cebola, azeite e óleo alimentar",97,"3,1","14,5","1,4","2,0"
Batata frita caseira (em palitos),227,"10,8","27,6","2,4","3,7"
"Batata frita, de pacote (em rodelas)",543,"38,1","39,0","10,7","5,7"
Batata doce crua,123,0,"28,3","2,7","1,0"
Batata doce assada,123,0,"28,3","3,0","1,0"
Beterraba (raiz) crua,23,0,"3,5","2,6","1,0"
Beterraba (raiz) cozida sem sal,23,0,"3,4","2,5","1,0"
Cebola crua,20,"0,2","3,1","1,3","0,9"
Cebola cozida,18,"0,2","2,4","1,4","1,0"
Cebola frita com óleo alimentar,138,"11,2","6,2","2,6","1,9"
Cenoura crua,25,0,"4,4","2,6","0,6"
Cenoura cozida,23,0,"3,6","3,0","0,7"
Chicória crua,14,"0,1","0,9","2,6","1,0"
Cogumelos crus,18,"0,5","0,5","2,3","1,8"
"Cogumelos enlatados, escorridos",17,"0,4",0,"2,7","2,1"
Cogumelos fritos com óleo alimentar,163,"16,2","0,3","3,0","2,4"
Espargos crus,22,0,"2,7","1,5","2,1"
Espargos cozidos,20,0,"2,2","1,2","2,2"
Espinafres crus,27,"0,9","0,8","2,6","2,6"
Nabo (raiz) cru,21,"0,4","3,0","2,0","0,4"
Nabo (raiz) cozido,19,"0,4","2,3","2,2","0,4"
Pepino cru,19,"0,6","1,7","0,7","1,4"
Pimento cru,27,"0,6","2,7","2,0","1,6"
Pimento grelhado,37,"0,6","3,7","2,8","2,7"
Rabanete cru,15,"0,2","1,9","0,9","1,0"
Tomate cru,23,"0,3","3,5","1,3","0,8"
Tomate em conserva ao natural,21,"0,3","3,2","0,9","1,0"
"Sumo de tomate, 100%",21,0,"3,5","0,6","1,1"
Túbera (trufa) crua,77,"0,3","14,5","1,5","3,3"
Beringela crua,21,"0,2","2,4","2,5","1,1"
Beringela grelhada com azeite,99,"7,1","4,3","4,4","2,0"
Courgette crua,19,"0,3","2,0","1,0","1,6"
Courgette frita com óleo alimentar,64,"4,8","2,5","1,3","2,0"
Carambola,40,"0,3","7,1","1,7","0,5"
Abacate,114,"10,5","2,3","3,0","1,1"
Abóbora cristalizada,293,"0,2","72,4","0,7",0
Ameixa branca,40,"0,2","7,8","1,6","0,6"
Ameixa encarnada,41,"0,2","7,4","1,9","0,8"
"Ameixa, conserva em calda de açúcar",115,"0,2","27,5","1,0","0,2"
Compota de ameixa,200,0,"49,2","0,9","0,3"
Ameixa rainha Cláudia,57,"0,1","11,8","2,3","0,8"
Ameixa seca,198,"0,3","37,8","15,6","2,9"
Ananás ,48,"0,2","9,5","1,2","0,5"
"Ananás, conserva em calda de açúcar",98,"0,1","23,2","1,0","0,2"
Compota de ananás,211,"0,1","50,8","0,8","0,5"
Anona,82,"0,4","16,8","2,4","1,7"
Banana,104,"0,4","21,8","3,1","1,6"
Cereja (4 variedades),67,"0,7","13,3","1,6","0,8"
"Cereja, conserva em calda de açúcar",120,"0,2","28,7","1,0","0,4"
Compota de cereja,251,0,"61,9","0,9","0,4"
Doce de cereja,262,0,"64,9","0,7","0,2"
"Cereja, cristalizada",326,"0,2","79,9","1,6","0,4"
Clementina,53,"0,2","11,1","1,7","0,8"
"Coco seco, ralado",648,"62,0","6,4","21,1","5,6"
Damasco,48,"0,1","8,5","2,1","0,8"
"Damasco, conserva em calda de açúcar",163,"0,1","39,3","1,2","0,5"
Compota de damasco,239,0,"58,9","0,9","0,4"
Doce de damasco,233,0,"57,4","0,9","0,5"
Damasco seco,242,"0,9","41,2","19,0","5,4"
Dióspiro,65,0,"14,8","1,5","0,6"
Figo (5 variedades),79,"0,5","16,3","2,3","0,9"
Figo cristalizado,295,"0,4","71,2","2,3","0,5"
Figo seco,270,"0,6","58,3","11,0","2,3"
Framboesa,49,"0,6","5,1","6,7","0,9"
Doce de framboesa,242,0,"59,7","1,0","0,4"
Ginja,57,"0,3","11,5","1,6","0,9"
Doce de ginja,263,0,"64,8","0,9","0,4"
Quivi,60,"0,5","10,9","1,9","1,1"
Laranja (3 variedades),48,"0,2","8,9","1,8","1,1"
Compota de laranja,242,0,"59,5","0,9","0,4"
Geleia de casca de laranja,275,0,"68,0","0,7","0,3"
Limão,31,"0,3","1,9","2,1","0,5"
Maçã com casca,64,"0,5","13,4","2,1","0,2"
Maçã sem casca,61,"0,5","12,7","1,9","0,2"
Doce de maçã,239,0,"59,0","0,9","0,2"
Maçã seca,257,"0,3","57,1","9,5","0,8"
Maçã cozida com açúcar,77,"0,5","17,0","1,4","0,2"
Maçã cozida sem açúcar,51,"0,5","10,5","1,6","0,2"
Maçã assada com açúcar,106,"0,5","23,9","2,2","0,2"
Maçã assada sem açúcar,75,"0,5","15,7","2,6","0,3"
Manga,59,"0,3","11,7","2,9","0,5"
Marmelo,53,"0,2","9,3","6,0","0,3"
Marmelada,284,0,"69,7","2,2","0,1"
Melancia,26,"0,2","5,5","0,3","0,4"
Melão (3 variedades),30,"0,3","5,7","0,9","0,6"
Meloa,23,"0,1","4,2","0,9","0,6"
Morango,34,"0,4","5,3","2,0","0,6"
Doce de morango,245,0,"60,5","1,0","0,2"
Nêspera,51,"0,4","10,2","2,1","0,4"
Papaia,45,"0,1","9,1","2,3","0,6"
Pera (5 variedades),47,"0,4","9,4","2,2","0,3"
Pera cozida com açúcar,67,"0,4","14,5","1,7","0,3"
Pera cozida sem açúcar,40,"0,4","7,8","1,8","0,3"
Pera conserva em calda de açúcar,121,"0,3","28,9","1,0","0,2"
Pera cristalizada,285,"0,1","69,8","2,2","0,2"
Pêssego (2 variedades),44,"0,3","8,1","2,3","0,6"
"Pêssego, conserva em calda de açúcar",86,"0,1","20,6","1,0","0,2"
Doce de pêssego,209,0,"51,3","1,0","0,4"
Nectarina,49,"0,1","8,7","2,2","1,4"
Tâmara seca,298,"0,3","67,3","7,8","2,5"
Tângera,41,"0,1","7,8","1,7","0,7"
Tangerina,44,"0,1","8,7","1,7","0,7"
Toranja,36,"0,1","6,0","1,6","0,9"
Uva branca (5 variedades),78,"0,5","17,3","0,8","0,3"
Uva tinta (5 variedades),83,"0,5","18,6","0,9","0,3"
Uva seca (passas),294,"0,7","67,0","6,1","1,8"
Romã,60,"0,4","12,0","3,4","0,4"
"Amêndoa, miolo, com pele",643,"56,0","7,2","12,0","21,6"
"Amêndoa, miolo, torrada, sem pele",650,"56,8","7,1","12,2","21,6"
"Amendoim, miolo",589,"47,7","10,1","8,8","25,4"
"Amendoim, miolo, torrado sem sal",605,"49,6","9,5","8,9","25,6"
"Amendoim, miolo, torrado com sal",614,"51,8","6,6","8,3","26,2"
"Avelã, miolo",689,"66,3","6,0","6,1","14,0"
Azeitona,180,"18,5",0,"4,0","1,4"
Castanha de caju torrada  e salgada,613,"50,0","19,4","3,3","19,6"
"Castanha, miolo",194,"1,1","39,8","6,1","3,1"
Castanha assada com sal,222,"1,3","45,5","7,0","3,5"
Castanha pilada,341,"2,0","70,0","11,3","5,1"
"Noz, miolo",699,"67,5","3,6","5,2","16,7"
"Pinhão, miolo",622,"51,7","5,0","1,9","33,2"
Pistácio torrado e salgado,616,"53,0","12,6","8,5","18,0"
Sidra (vinho de maçã),48,0,"2,3",0,0
Vinho maduro branco,72,0,"1,2",0,"0,1"
Vinho maduro palhete,65,0,"0,1",0,"0,1"
Vinho maduro tinto,66,0,"0,2",0,"0,1"
Vinho rosé,72,0,"2,4",0,"0,2"
Vinho verde branco,59,0,"0,1",0,0
Vinho verde tinto,57,0,"0,3",0,0
Vinho espumante extra bruto,69,0,"0,1",0,"0,1"
Vinho espumante doce,110,0,"12,0",0,"0,1"
Vinho espumante meio Seco,80,0,"4,2",0,"0,1"
Vinho espumante seco,74,0,"2,6",0,"0,1"
Vinho generoso da Madeira,156,0,"9,0",0,"0,2"
"Vinho generoso do Porto, doce",165,0,"14,0",0,"0,1"
"Vinho generoso do Porto, meio seco",138,0,"6,5",0,"0,1"
"Vinho generoso do Porto, seco",135,0,"4,0",0,"0,1"
Cerveja branca,30,0,"0,5",0,"0,4"
Cerveja preta,23,0,"0,6",0,"0,5"
Cerveja sem álcool,7,0,"1,5",0,"0,3"
Aguardente,308,0,0,0,0
Brandy,246,0,0,0,0
Gin - Rum- Whisky,222,0,0,0,0
Licor de ginja,239,0,"19,0",0,"0,1"
Licor de anis,385,0,"36,0",0,0
Licor beneditino,352,0,"34,8",0,0
Licor simples,294,0,"24,4",0,0
"Sumo de ananás, 100%",42,"0,1","9,5","0,3","0,2"
Base em pó para bebida de ananás,369,0,"89,5",0,0
"Sumo de ananás, concentrado",265,0,"64,7",0,0
"Sumo de laranja, 100% ",42,"0,1","9,5",0,"0,3"
"Sumo de laranja, concentrado",272,"0,7","64,9",0,"0,1"
Base em pó para bebida de laranja,375,0,"88,9",0,0
"Sumo de limão, fresco (espremido)",25,0,"1,5",0,"0,3"
